x_cat	y_cat	est_x	est_y
9.86456  44.0959  -10.2206  -19.6448
9.86456  44.0959  -10.2902  -19.6331
9.86456  44.0959  -10.3593  -19.6203
9.86456  44.0959  -10.4213  -19.5987
9.86456  44.0959  -10.4434  -19.5484
9.86456  44.0959  -10.5069  -19.5177
9.86456  44.0959  -10.5168  -19.4834
9.86456  44.0959  -10.5491  -19.4418
9.86456  44.0959  -10.581  -19.4059
9.86456  44.0959  -10.5964  -19.3723
9.86456  44.0959  -10.6597  -19.342
9.86456  44.0959  -10.714  -19.3023
9.86456  44.0959  -10.7521  -19.2627
9.86456  44.0959  -10.8298  -19.2184
9.86456  44.0959  -10.8635  -19.1733
9.86456  44.0959  -10.9173  -19.1383
9.86456  44.0959  -10.9773  -19.1017
9.86456  44.0959  -11.0113  -19.0756
9.86456  44.0959  -11.0239  -19.0468
9.86456  44.0959  -11.0736  -19.0219
9.86455  44.0959  -11.126  -19.0004
9.86455  44.0959  -11.13  -18.9881
9.86455  44.0959  -11.1333  -18.9779
9.86455  44.0959  -11.1456  -18.9655
9.86455  44.0959  -11.1625  -18.9579
9.86455  44.0959  -11.1956  -18.9481
9.86455  44.0959  -11.2847  -18.9673
9.86455  44.0959  -11.376  -18.9802
9.86455  44.0959  -11.4388  -18.9808
9.86455  44.0959  -11.4692  -18.9548
9.86455  44.0959  -11.5286  -18.9313
9.86455  44.0959  -11.6164  -18.9208
9.86455  44.0959  -11.7159  -18.931
9.86455  44.0959  -11.7995  -18.9222
9.86455  44.0959  -11.8788  -18.9166
9.86455  44.0959  -11.9465  -18.9123
9.86455  44.0959  -12.0188  -18.9276
9.86455  44.0959  -12.0556  -18.9332
9.86455  44.0959  -12.0384  -18.9286
9.86454  44.0959  -12.0077  -18.931
9.86454  44.0959  -11.9995  -18.9714
9.86454  44.0959  -11.9436  -18.9818
9.86454  44.0959  -11.9734  -19.0422
9.86454  44.0959  -11.9877  -19.0473
9.86454  44.0959  -12.0205  -19.0398
9.86454  44.0959  -12.0564  -19.0179
9.86454  44.0959  -12.0832  -18.9842
9.86454  44.0959  -12.1214  -18.9426
9.86454  44.0959  -12.1718  -18.8895
9.86454  44.0959  -12.2485  -18.8343
9.86454  44.0959  -12.3692  -18.7821
9.86454  44.0959  -12.5092  -18.7392
9.86454  44.0959  -12.5932  -18.6719
9.86454  44.0959  -12.6887  -18.5952
9.86454  44.0959  -12.844  -18.5465
9.86454  44.0959  -12.9619  -18.4936
9.86454  44.0959  -13.0069  -18.4258
9.86453  44.0959  -13.0389  -18.3675
9.86453  44.0959  -13.0638  -18.3151
9.86453  44.0959  -13.0819  -18.2672
9.86453  44.0959  -13.171  -18.2707
9.86453  44.0959  -13.2336  -18.2543
9.86453  44.0959  -13.2659  -18.2271
9.86453  44.0959  -13.2878  -18.2069
9.86453  44.0959  -13.3005  -18.1928
9.86453  44.0959  -13.3053  -18.1842
